age,decile,n,median_km,ratio,rate,event
16,1,10882,65605.7109375,0.3989616334438324,0.0693806285609263,fleet_exit
16,2,10882,98858.78125,0.6011803150177002,0.09189487226612755,fleet_exit
16,3,10881,120993.703125,0.7357872128486633,0.11800385993934381,fleet_exit
16,4,10882,139223.53125,0.8466464877128601,0.14160999816210257,fleet_exit
16,5,10883,156082.234375,0.9491677284240723,0.16236331893779288,fleet_exit
16,6,10882,173023.0,1.0521879196166992,0.18636280095570668,fleet_exit
16,7,10882,191589.1875,1.1650927066802979,0.2151258959750046,fleet_exit
16,8,10882,212513.875,1.2923399209976196,0.2314831832383753,fleet_exit
16,9,10882,240537.375,1.4627565145492554,0.2646572321264473,fleet_exit
16,10,10882,291638.875,1.7735151052474976,0.31042087851497885,fleet_exit
17,1,9839,67127.34375,0.3974292576313019,0.07541416810651488,fleet_exit
17,2,9839,101337.171875,0.5999695062637329,0.10610834434393739,fleet_exit
17,3,9837,124016.046875,0.7342404127120972,0.13988004472908408,fleet_exit
17,4,9840,142764.90625,0.845243513584137,0.16504065040650406,fleet_exit
17,5,9838,160105.59375,0.9479095339775085,0.20004065867046147,fleet_exit
17,6,9838,177743.1875,1.0523333549499512,0.219861760520431,fleet_exit
17,7,9840,196628.046875,1.1641417741775513,0.23892276422764228,fleet_exit
17,8,9838,218969.75,1.2964164018630981,0.2663142915226672,fleet_exit
17,9,9838,247594.359375,1.4658892154693604,0.2912177271803212,fleet_exit
17,10,9840,297847.75,1.7634156942367554,0.32754065040650404,fleet_exit
18,1,7538,66948.7109375,0.39626970887184143,0.0912708941363757,fleet_exit
18,2,7538,100773.1015625,0.5964764356613159,0.11939506500397984,fleet_exit
18,3,7538,123567.0390625,0.7313938736915588,0.15534624568851155,fleet_exit
18,4,7538,142594.3125,0.8440163731575012,0.18532767312284426,fleet_exit
18,5,7537,160218.234375,0.9483324289321899,0.213082128167706,fleet_exit
18,6,7538,177671.578125,1.0516388416290283,0.2369328734412311,fleet_exit
18,7,7537,196985.3125,1.165956974029541,0.264163460262704,fleet_exit
18,8,7539,219400.265625,1.298631191253662,0.2861122164743335,fleet_exit
18,9,7538,249116.0,1.4745187759399414,0.3189174847439639,fleet_exit
18,10,7538,300785.59375,1.7803512811660767,0.3409392411780313,fleet_exit
19,1,5722,65034.39453125,0.3871349096298218,0.09437259699405802,fleet_exit
19,2,5724,98335.75,0.5853703022003174,0.1334730957372467,fleet_exit
19,3,5723,121478.109375,0.7231314778327942,0.15848331294775467,fleet_exit
19,4,5723,141087.96875,0.8398644924163818,0.18451860912109033,fleet_exit
19,5,5723,159355.640625,0.9486077427864075,0.23344399790319761,fleet_exit
19,6,5723,177330.390625,1.0556073188781738,0.24619954569281846,fleet_exit
19,7,5723,197114.0625,1.1733750104904175,0.28201991962257555,fleet_exit
19,8,5723,219781.671875,1.3083101511001587,0.28499038965577494,fleet_exit
19,9,5723,250212.765625,1.48945951461792,0.3167918923641447,fleet_exit
19,10,5723,303420.875,1.8061952590942383,0.33985671850428095,fleet_exit
20,1,4377,65284.6484375,0.3927142024040222,0.10623714873200822,fleet_exit
20,2,4376,97027.3515625,0.5836597084999084,0.13893967093235832,fleet_exit
20,3,4376,119566.2109375,0.7192402482032776,0.17161791590493602,fleet_exit
20,4,4377,138617.625,0.833842396736145,0.20996116061229153,fleet_exit
20,5,4376,157030.125,0.9446012377738953,0.22623400365630714,fleet_exit
20,6,4376,175630.125,1.0564879179000854,0.23948811700182815,fleet_exit
20,7,4376,195370.34375,1.1752334833145142,0.2806215722120658,fleet_exit
20,8,4377,218352.578125,1.3134812116622925,0.30134795522047064,fleet_exit
20,9,4376,248354.78125,1.4939568042755127,0.338436928702011,fleet_exit
20,10,4377,303866.6875,1.8278839588165283,0.3363034041580992,fleet_exit
3,1,5203,10618.4521484375,0.3034958839416504,0.7915595381174787,to_market
3,2,6134,17940.966796875,0.5127875208854675,0.9331974258721151,to_market
3,3,6388,23201.912109375,0.6631554961204529,0.9718397711886324,to_market
3,4,6705,27904.416015625,0.7975621223449707,1.0200666352253882,to_market
3,5,6989,32560.248046875,0.9306348562240601,1.0632730370753525,to_market
3,6,7198,37550.82421875,1.073275089263916,1.0950692975916994,to_market
3,7,6875,43439.4140625,1.2415823936462402,1.0459296222482541,to_market
3,8,7435,51133.6875,1.4614996910095215,1.1311253442059301,to_market
3,9,7157,63631.8515625,1.8187212944030762,1.0888317536626553,to_market
3,10,5647,96167.9609375,2.748666286468506,0.8591075748124933,to_market
4,1,4394,15982.3955078125,0.3277125060558319,0.8367929918110836,to_market
4,2,5125,26074.591796875,0.5346488952636719,0.976004570557989,to_market
4,3,5348,33195.9375,0.6806691884994507,1.0184726718720243,to_market
4,4,5069,39482.03515625,0.8095630407333374,0.9653399352504285,to_market
4,5,5303,45600.76171875,0.9350250363349915,1.0099028756427346,to_market
4,6,5244,52099.29296875,1.068274736404419,0.9986669205865548,to_market
4,7,5364,59621.3671875,1.222511887550354,1.0215197105313274,to_market
4,8,5757,69264.5546875,1.4202414751052856,1.096362597600457,to_market
4,9,5709,84579.0703125,1.7342593669891357,1.087221481622548,to_market
4,10,5197,124188.25,2.546429395675659,0.9897162445248523,to_market
5,1,3463,21693.95703125,0.3421059250831604,0.8677023302430468,to_market
5,2,3683,34946.90625,0.5511001944541931,0.922826359308444,to_market
